ポケモン川柳,登場ポケモン,出典,登場作品,チェック
オクタンが いねむりふねこぎ くたんくたん,オクタン,オーキド博士のポケモン講座,EP240,
キリンリキ あたまとしっぽでにらめっこ,キリンリキ,オーキド博士のポケモン講座,EP241,
クヌギダマ うごかずなにを おもうひび,クヌギダマ,オーキド博士のポケモン講座,EP242,
すいすいと かぜにさそわれ グライガー,グライガー,オーキド博士のポケモン講座,EP243,
さきほこれ おはなばたけの キレイハナ,キレイハナ,オーキド博士のポケモン講座,EP244,
イノムーの はないきこおって つららかな,イノムー,オーキド博士のポケモン講座,EP246,
ウソッキー うそかまことか だましうち,ウソッキー,オーキド博士のポケモン講座,EP247,
みはりやく オタチがしっぽで おーたっち,オタチ,オーキド博士のポケモン講座,EP248,
つのはえて おうじゃのかんろく キングドラ,キングドラ,オーキド博士のポケモン講座,EP249,
グランブル ブルブルふるえる こわがりや,グランブル,オーキド博士のポケモン講座,EP250,
ツボツボが からにこもると あなだらけ,ツボツボ,オーキド博士のポケモン講座,EP251,
チョンチーと ちょうちんもって きもだめし,チョンチー,オーキド博士のポケモン講座,EP252,
ネイティが オーキドはかせの ろうごよち,ネイティ,オーキド博士のポケモン講座,EP253,
ヌオーくん あたまなでたら すべったよ,ヌオー,オーキド博士のポケモン講座,EP258,
ゴマゾウも ぼくもじんせい たいあたり,ゴマゾウ,オーキド博士のポケモン講座,EP259,True
サニーゴちゃん とげとげちょんまげ かわいいな,サニーゴ,オーキド博士のポケモン講座,EP260,
クロバット くるくるまわって アクロバット,クロバット,オーキド博士のポケモン講座,EP261,
きがつくと きみのうしろに ソーナンス,ソーナンス,オーキド博士のポケモン講座,EP262,
サナギラス ふといまゆげが おやじがお,サナギラス,オーキド博士のポケモン講座,EP263,
デルビルも まいにちしてるよ ボディビル,デルビル,オーキド博士のポケモン講座,EP264,
ドーブルが えかきかぜひき どうブルル,ドーブル,オーキド博士のポケモン講座,EP265,
チコリータ とっしんこうげき ちとこりた,チコリータ,オーキド博士のポケモン講座,EP273,
だいふんか ほのおにうかぶ エンテイよ,エンテイ,オーキド博士のポケモン講座,AG001,
ノコッチは ねてるおきてる さあどっち,ノコッチ,オーキド博士のポケモン講座,AG004,
ゆうはんの ひじきをみると アンノーン,アンノーン,オーキド博士のポケモン講座,AG005,
ていでんで きみのでばんだ エレキッド,エレキッド,オーキド博士のポケモン講座,AG006,
デンリュウの せんりゅうだして しゅうりょうだ,デンリュウ,オーキド博士のポケモン講座,AG007,
さむいあさ おきれずねぼう かみトゲピー,トゲピー,オーキド博士のポケモン講座,AG008,
ねるまえに つめのおていれ ニューラのにっか,ニューラ,オーキド博士のポケモン講座,AG009,
ニョロトノと ふたりでたべよ ネギトロを,ニョロトノ,オーキド博士のポケモン講座,AG011,
ネイティオが いいとしねがって みらいよち,ネイティオ,オーキド博士のポケモン講座,AG012,
ハネッコが おそらのうえで おひるねちゅう,ハネッコ,オーキド博士のポケモン講座,AG016,
はいしゃさん ハピナスいたら いいのにな,ハピナス,オーキド博士のポケモン講座,AG017,
ハリーセン ふんでしまって すいません,ハリーセン,オーキド博士のポケモン講座,AG018,
ピィゲット くろうしたけど うれピィな,ピィ,オーキド博士のポケモン講座,AG022,
ヒノアラシ いつもねていて ヒマらしい,ヒノアラシ,オーキド博士のポケモン講座,AG025,
ヒメグマが ひめ～をあげて クマったな,ヒメグマ,オーキド博士のポケモン講座,AG028,
きょうもまた ママとフォレトス だいばくはつ,フォレトス,オーキド博士のポケモン講座,AG029,
たまごやき ブビィとつくれば まっくろけ,ブビィ,オーキド博士のポケモン講座,AG030,
ププリンが おけがをしたよ ちちんププリン,ププリン,オーキド博士のポケモン講座,AG032,
ブラッキー やみよにじょうじて かくれんぼ,ブラッキー,オーキド博士のポケモン講座,AG037,
かみつけば ブルーなきもち すぐはれる,ブルー,オーキド博士のポケモン講座,AG038,
ベイリーフ はっぱふるとき くびいたい,ベイリーフ,オーキド博士のポケモン講座,AG039,
ヘラクロス あまいみつすう ぼくもすう,ヘラクロス,オーキド博士のポケモン講座,AG040,
ヘルガーが こがしたりょうり たべれるかぁ,ヘルガー,オーキド博士のポケモン講座,AG041,
あめあがり にじのむこうに ホウオウだ,ホウオウ,オーキド博士のポケモン講座,AG043,
ホーホーを ゲットのほうほう みやぶりたい!,ホーホー,オーキド博士のポケモン講座,AG044,
ポポッコが チョコットわらえば はながさく,ポポッコ,オーキド博士のポケモン講座,AG045,
マグカルゴ つのだせやりだせ ほのおだせ,マグカルゴ,オーキド博士のポケモン講座,AG046,
なつのひに マリルがさそった プールいこ,マリル,オーキド博士のポケモン講座,AG047,
よそみだめ ちゃんとまえを ミルタンク,ミルタンク,オーキド博士のポケモン講座,AG049,
マンタイン うずしおつくって めがまわる,マンタイン,オーキド博士のポケモン講座,AG050,
ムウマには くろいまなざし つぶらなめ,ムウマ,オーキド博士のポケモン講座,AG051,
メガニウム ふんづけられて メガネむにゅ!,メガニウム,オーキド博士のポケモン講座,AG052,
マグマラシ いつもねるとき まくらなし,マグマラシ,オーキド博士のポケモン講座,AG054,
マリルリが しっぽでけんだま じょうずだな,マリルリ,オーキド博士のポケモン講座,AG055,
ムチュールが シチューをムチューで たべている,ムチュール,オーキド博士のポケモン講座,AG056,
メリープの メリーなとしも あとすこし,メリープ,オーキド博士のポケモン講座,AG057,
かぜおこし くしゃみルギアは かぜひきや,ルギア,オーキド博士のポケモン講座,AG058,
ヤドキング あかしろマフラー きれいだね,ヤドキング,オーキド博士のポケモン講座,AG060,
ヨーギラス マラソンはしって いききらす,ヨーギラス,オーキド博士のポケモン講座,AG061,
ランターン すいちゅうダンスで タンタカターン,ランターン,オーキド博士のポケモン講座,AG062,
リングマよ たたかうリングで まってるぜ,リングマ,オーキド博士のポケモン講座,AG064,
くらやみに シルクハットの ヤミカラス,ヤミカラス,オーキド博士のポケモン講座,AG065,
ヨルノズク さとしのねがお よるのぞく,ヨルノズク,オーキド博士のポケモン講座,AG066,True
レディアンが おはなばたけで デートちゅう,レディアン,オーキド博士のポケモン講座,AG067,
ワニノコが ハンカチおとしで わにのこる,ワニノコ,オーキド博士のポケモン講座,AG069,
ヤンヤンマ ゆびいっぽんで ゲットだぜ,ヤンヤンマ,オーキド博士のポケモン講座,AG070,
スイクンは はながよさそう,スイクン,オーキド博士のポケモン講座,AG071,
やきざかな たべたらのどに トゲチック,トゲチック,オーキド博士のポケモン講座,AG072,
オオタチは せのびするのが とくいだよ,オオタチ,オーキド博士のポケモン講座,AG076,
アリゲイツ おおきなくちに むしばなし,アリゲイツ,オーキド博士のポケモン講座,AG077,
